has_call_in_queue,duration_tracking,campaign_id,source_id,medium_id,activity_ids,activity_state,activity_user_id,activity_type_id,activity_type_icon,activity_date_deadline,my_activity_date_deadline,activity_summary,activity_exception_decoration,activity_exception_icon,activity_calendar_event_id,message_is_follower,message_follower_ids,message_partner_ids,message_ids,has_message,message_needaction,message_needaction_counter,message_has_error,message_has_error_counter,message_attachment_count,rating_ids,website_message_ids,message_has_sms_error,phone_sanitized,phone_sanitized_blacklisted,phone_blacklisted,mobile_blacklisted,phone_mobile_search,email_normalized,is_blacklisted,message_bounce,email_cc,name,user_id,user_company_ids,team_id,lead_properties,company_id,referred,description,active,type,priority,stage_id,tag_ids,color,expected_revenue,prorated_revenue,recurring_revenue,recurring_plan,recurring_revenue_monthly,recurring_revenue_monthly_prorated,recurring_revenue_prorated,company_currency,date_closed,date_automation_last,date_open,day_open,day_close,date_last_stage_update,date_conversion,date_deadline,partner_id,partner_is_blacklisted,contact_name,partner_name,function,title,email_from,email_domain_criterion,phone,mobile,phone_state,email_state,website,lang_id,lang_code,lang_active_count,street,street2,zip,city,state_id,country_id,probability,automated_probability,is_automated_probability,lost_reason_id,calendar_event_ids,duplicate_lead_ids,duplicate_lead_count,meeting_display_date,meeting_display_label,partner_email_update,partner_phone_update,is_partner_visible,id,display_name,create_uid,create_date,write_uid,write_date,won_status,days_to_convert,days_exceeding_closing,event_lead_rule_id,event_id,registration_ids,registration_count,reveal_id,visitor_ids,visitor_page_count,iap_enrich_done,show_enrich_button,lead_mining_request_id,visitor_sessions_count,sale_amount_total,quotation_count,sale_order_count,order_ids,rental_quotation_count,rental_amount_total,rental_order_count,rental_order_ids
False,{'4': 1285144},"[4, 'Email Campaign - Products']","[2, 'Lead Recall']","[4, 'Email']",[],False,False,False,False,False,False,False,False,False,False,False,[115],[7],[352],True,False,0,False,0,0,[],[],False,+16039963829,False,False,False,False,info@agrolait.com,False,0,False,Interest in your products,"[6, 'Marc Demo']",[1],"[4, 'Pre-Sales']",[],"[1, 'My Company (San Francisco)']",False,False,True,opportunity,2,"[4, 'Won']",[2],0,2000.0,2000.0,0.0,False,0.0,0.0,0.0,"[1, 'USD']",2025-03-10 17:05:49,False,2025-03-10 17:05:47,0.0,0.0,2025-03-10 17:05:47,False,2025-03-10,"[10, 'Deco Addict']",False,False,Deco Addict,False,False,info@agrolait.com,@agrolait.com,(603)-996-3829,False,correct,correct,http://www.deco-addict.com,"[1, 'English (US)']",en_US,1,77 Santa Barbara Rd,False,94523,Pleasant Hill,"[13, 'California (US)']","[233, 'United States']",100.0,100.0,True,False,[],"[26, 14, 15, 28, 27]",4,False,No Meeting,False,False,True,27,Interest in your products,"[1, 'OdooBot']",2025-03-09 17:05:49,"[1, 'OdooBot']",2025-03-10 17:06:30,won,0.0,-1.0,False,False,[],0,False,[],0,False,False,False,0,0.0,0,0,[],0,0.0,0,[]
False,{'3': 1717144},"[4, 'Email Campaign - Products']","[1, 'Search engine']","[1, 'Website']",[22],overdue,"[6, 'Marc Demo']","[1, 'Email']",fa-envelope,2025-03-10,False,Send Catalog by Email,False,False,False,False,[114],[7],[351],True,False,0,False,0,0,[],[],False,+16039963829,False,False,False,False,info@agrolait.com,False,0,False,Open Space Design,"[6, 'Marc Demo']",[1],"[4, 'Pre-Sales']",[],"[1, 'My Company (San Francisco)']",False,False,True,opportunity,2,"[3, 'Proposition']",[2],0,11000.0,4950.0,0.0,False,0.0,0.0,0.0,"[1, 'USD']",False,False,2025-03-08 17:05:00,3.0,0.0,2025-03-10 17:05:47,False,False,"[10, 'Deco Addict']",False,False,Deco Addict,False,False,info@agrolait.com,@agrolait.com,(603)-996-3829,False,correct,correct,http://www.deco-addict.com,"[1, 'English (US)']",en_US,1,77 Santa Barbara Rd,False,94523,Pleasant Hill,"[13, 'California (US)']","[233, 'United States']",45.0,0.0,False,False,[],"[27, 14, 15, 28, 26]",4,False,No Meeting,False,False,True,26,Open Space Design,"[1, 'OdooBot']",2025-03-04 17:05:49,"[1, 'OdooBot']",2025-03-10 17:06:30,pending,0.0,0.0,False,False,[],0,False,[],0,False,True,False,0,0.0,0,0,[],0,0.0,0,[]
False,{'3': 1285144},"[3, 'Email Campaign - Services']","[1, 'Search engine']","[2, 'Phone']",[21],overdue,"[2, 'Mitchell Admin']","[2, 'Call']",fa-phone,2025-03-10,2025-03-10,Conf call with technical service,False,False,False,True,[113],[3],[350],True,False,0,False,0,0,[],[],False,False,False,False,False,False,henry@elight.com,False,0,False,Modern Open Space,"[2, 'Mitchell Admin']",[1],"[1, 'Sales']",[],"[1, 'My Company (San Francisco)']",False,False,True,opportunity,2,"[3, 'Proposition']",[4],0,4500.0,2700.0,0.0,False,0.0,0.0,0.0,"[1, 'USD']",False,False,2025-03-08 17:05:00,2.0,0.0,2025-03-10 17:05:47,False,False,False,False,Henry Jordan,E-light Industry,False,False,henry@elight.com,@elight.com,False,False,False,correct,False,False,False,1,"Palermo, Capital Federal",C1414CMS Capital Federal,B7313,Buenos Aires,False,"[10, 'Argentina']",60.0,0.0,False,False,[],[25],0,False,No Meeting,False,False,True,25,Modern Open Space,"[1, 'OdooBot']",2025-03-09 17:05:49,"[1, 'OdooBot']",2025-03-10 17:06:30,pending,0.0,0.0,False,False,[],0,False,[],0,False,True,False,0,0.0,0,0,[],0,0.0,0,[]
False,{'3': 1285144},"[3, 'Email Campaign - Services']","[1, 'Search engine']","[2, 'Phone']",[17],overdue,"[1, 'OdooBot']","[2, 'Call']",fa-phone,2025-03-14,False,False,False,False,False,True,"[109, 123]",[3],[346],True,False,0,False,0,0,[],[],False,False,False,False,False,False,info@deltapc.example.com,False,0,False,Office Design and Architecture,"[2, 'Mitchell Admin']",[1],"[1, 'Sales']",[],"[1, 'My Company (San Francisco)']",False,False,True,opportunity,2,"[3, 'Proposition']",[7],0,9000.0,165.6,0.0,False,0.0,0.0,0.0,"[1, 'USD']",False,False,2025-03-05 17:05:00,5.0,0.0,2025-03-10 17:05:47,False,False,"[12, 'Ready Mat']",False,False,Ready Mat,False,False,info@deltapc.example.com,@deltapc.example.com,(803)-873-6126,False,incorrect,correct,http://www.ready-mat.com/,"[1, 'English (US)']",en_US,1,Cannon Hill Park,False,B46 3AG,Birmingham,False,"[231, 'United Kingdom']",1.84,1.84,True,False,[],"[16, 18, 21]",2,False,No Meeting,False,False,True,21,Office Design and Architecture,"[1, 'OdooBot']",2025-03-09 17:05:49,"[1, 'OdooBot']",2025-03-10 17:06:30,pending,0.0,0.0,False,False,[],0,False,[],0,False,True,False,0,0.0,0,0,[],0,0.0,0,[]
False,{'4': 1803544},"[3, 'Email Campaign - Services']","[2, 'Lead Recall']","[4, 'Email']",[16],overdue,"[1, 'OdooBot']","[2, 'Call']",fa-phone,2025-03-11,False,False,False,False,False,True,"[108, 122]",[3],[345],True,False,0,False,0,0,[],[],False,+13123492324,False,False,False,False,john.b@tech.info,False,0,False,Distributor Contract,"[2, 'Mitchell Admin']",[1],"[1, 'Sales']",[],"[1, 'My Company (San Francisco)']",False,False,True,opportunity,2,"[4, 'Won']","[4, 8]",0,19800.0,19800.0,0.0,False,0.0,0.0,0.0,"[1, 'USD']",2025-03-10 17:05:49,False,2025-03-05 17:05:00,1.0,6.0,2025-03-10 17:05:47,False,2025-03-10,"[11, 'Gemini Furniture']",False,John M. Brown,Epic Technologies,False,False,john.b@tech.info,@tech.info,+1 312 349 2324,False,correct,correct,http://www.gemini-furniture.com/,"[1, 'English (US)']",en_US,1,False,False,60610,Chicago,False,"[233, 'United States']",100.0,100.0,True,False,[],[20],0,False,No Meeting,False,False,True,20,Distributor Contract,"[1, 'OdooBot']",2025-03-03 17:05:49,"[1, 'OdooBot']",2025-03-10 17:06:30,won,0.0,-1.0,False,False,[],0,False,[],0,False,False,False,0,0.0,0,0,[],0,0.0,0,[]
True,"{'2': 1371531, '3': 5, '4': 5, '1': 2}","[4, 'Email Campaign - Products']","[2, 'Lead Recall']","[4, 'Email']",[12],overdue,"[2, 'Mitchell Admin']","[2, 'Call']",fa-phone,2025-03-12,2025-03-12,Convert to quote,False,False,False,True,[104],[3],"[2816, 2815, 2814, 2813, 338]",True,False,0,False,0,0,[],[],False,False,False,False,False,False,info@deltapc.example.com,False,0,False,Global Solutions: Furnitures,"[2, 'Mitchell Admin']",[1],"[1, 'Sales']",[],"[1, 'My Company (San Francisco)']",False,False,True,opportunity,2,"[2, 'Qualified']",[5],0,3800.0,2512.18,0.0,False,0.0,0.0,0.0,"[1, 'USD']",False,False,2025-03-03 17:05:00,6.0,0.0,2025-03-23 14:36:58,False,2025-03-10,"[12, 'Ready Mat']",False,Robin Smith,Global Solutions,False,False,info@deltapc.example.com,@deltapc.example.com,(803)-873-6126,False,incorrect,correct,http://www.ready-mat.com/,"[1, 'English (US)']",en_US,1,Union Road,False,L25 4RL,Liverpool,False,"[231, 'United Kingdom']",66.11,66.11,True,False,[],"[21, 18, 16]",2,False,No Meeting,False,False,True,16,Global Solutions: Furnitures,"[1, 'OdooBot']",2025-03-08 17:05:49,"[2, 'Mitchell Admin']",2025-03-23 14:36:58,pending,0.0,0.0,False,False,[],0,False,[],0,False,True,False,0,0.0,0,0,[],0,0.0,0,[]
False,{'1': 1285144},"[4, 'Email Campaign - Products']","[1, 'Search engine']","[1, 'Website']",[10],overdue,"[2, 'Mitchell Admin']","[1, 'Email']",fa-envelope,2025-03-13,2025-03-13,Send Catalog by Email,False,False,False,True,"[102, 120]","[7, 3]",[332],True,False,0,False,0,0,[],[],False,+16039963829,False,False,False,False,info@agrolait.com,False,0,False,Office Design Project,"[6, 'Marc Demo']",[1],"[4, 'Pre-Sales']",[],"[1, 'My Company (San Francisco)']",False,False,True,opportunity,2,"[1, 'New']",[2],7,24000.0,2400.0,0.0,False,0.0,0.0,0.0,"[1, 'USD']",False,False,2025-02-24 17:05:00,14.0,0.0,2025-03-10 17:05:47,False,2025-04-10,"[10, 'Deco Addict']",False,False,Deco Addict,False,False,info@agrolait.com,@agrolait.com,(603)-996-3829,False,correct,correct,http://www.deco-addict.com,"[1, 'English (US)']",en_US,1,77 Santa Barbara Rd,False,94523,Pleasant Hill,"[13, 'California (US)']","[233, 'United States']",10.0,8.33,False,False,[],"[27, 26, 15, 28, 14]",4,False,No Meeting,False,False,True,14,Office Design Project,"[1, 'OdooBot']",2025-03-09 17:05:49,"[1, 'OdooBot']",2025-03-10 17:06:30,pending,0.0,0.0,False,False,[],0,False,[],0,False,True,False,0,0.0,0,0,[],0,0.0,0,[]
False,{'1': 1371544},"[4, 'Email Campaign - Products']","[2, 'Lead Recall']","[4, 'Email']",[],False,False,False,False,False,False,False,False,False,False,False,[98],[7],"[328, 327]",True,False,0,False,0,0,[],[328],False,False,False,False,False,False,jga@solar.example.com,False,0,False,Design Software Info,"[6, 'Marc Demo']",[1],"[4, 'Pre-Sales']",[],"[1, 'My Company (San Francisco)']",False,False,True,lead,2,"[1, 'New']",[1],0,0.0,0.0,0.0,False,0.0,0.0,0.0,"[1, 'USD']",False,False,2025-03-08 17:05:00,1.0,0.0,2025-03-10 17:05:47,False,False,False,False,Jose Garcia,Solar IT,Medical illustrator,False,jga@solar.example.com,@solar.example.com,False,False,False,correct,False,False,False,1,False,False,28001,Madrid,False,"[68, 'Spain']",50.0,50.0,True,False,[],[10],0,False,No Meeting,False,False,False,10,Design Software Info,"[1, 'OdooBot']",2025-03-08 17:05:49,"[1, 'OdooBot']",2025-03-10 17:06:30,pending,0.0,0.0,False,False,[],0,False,[],0,False,True,False,0,0.0,0,0,[],0,0.0,0,[]
False,{'1': 1630744},"[3, 'Email Campaign - Services']","[2, 'Lead Recall']","[4, 'Email']",[],False,False,False,False,False,False,False,False,False,False,True,[94],[3],[322],True,False,0,False,0,0,[],[],False,False,False,False,False,False,tina@opensides.example.com,False,0,False,Opensides: Need Info,"[2, 'Mitchell Admin']",[1],"[1, 'Sales']",[],"[1, 'My Company (San Francisco)']",False,False,True,lead,2,"[1, 'New']","[3, 4]",0,0.0,0.0,0.0,False,0.0,0.0,0.0,"[1, 'USD']",False,False,2025-02-24 17:05:00,10.0,0.0,2025-03-10 17:05:47,False,False,False,False,Tina Pinero,Opensides,Consultant,False,tina@opensides.example.com,@opensides.example.com,False,False,False,correct,False,False,False,1,False,False,00118,Roma,False,"[109, 'Italy']",50.0,50.0,True,False,[],[6],0,False,No Meeting,False,False,False,6,Opensides: Need Info,"[1, 'OdooBot']",2025-03-05 17:05:49,"[1, 'OdooBot']",2025-03-10 17:06:30,pending,0.0,0.0,False,False,[],0,False,[],0,False,True,False,0,0.0,0,0,[],0,0.0,0,[]
False,{'1': 1544344},"[4, 'Email Campaign - Products']","[2, 'Lead Recall']","[4, 'Email']",[],False,False,False,False,False,False,False,False,False,False,True,[93],[3],"[321, 320]",True,False,0,False,0,0,[],[321],False,+18134945005,False,False,False,False,helle@stonageit.example.com,False,0,False,Quotation for 50 Chairs,"[2, 'Mitchell Admin']",[1],"[1, 'Sales']",[],"[1, 'My Company (San Francisco)']",False,,True,lead,2,"[1, 'New']",[1],0,0.0,0.0,0.0,False,0.0,0.0,0.0,"[1, 'USD']",False,False,2025-02-24 17:05:00,11.0,0.0,2025-03-10 17:05:47,False,False,False,False,Carrie Helle,Stonage IT,Purchase Manager,False,helle@stonageit.example.com,@stonageit.example.com,+1 813 494 5005,False,correct,correct,False,False,False,1,West Allegheny Ave 800,False,1909,Philadelphia,False,"[233, 'United States']",50.0,50.0,True,False,[],[5],0,False,No Meeting,False,False,False,5,Quotation for 50 Chairs,"[1, 'OdooBot']",2025-03-06 17:05:49,"[1, 'OdooBot']",2025-03-10 17:06:30,pending,0.0,0.0,False,False,[],0,False,[],0,False,True,False,0,0.0,0,0,[],0,0.0,0,[]
